input_centroid_110_y 434.907
input_centroid_110_id 1907
input_centroid_111_x 643.316
input_centroid_111_y 955.908
input_centroid_111_id 1911
input_centroid_112_x 646.143
input_centroid_112_y 941.265
input_centroid_112_id 1906
input_centroid_113_x 645.163
input_centroid_113_y 787.515
input_centroid_113_id 1903
input_centroid_114_x 650.958
input_centroid_114_y 913.561
input_centroid_114_id 1901
input_centroid_115_x 650.106
input_centroid_115_y 402.93
input_centroid_115_id 1883
input_centroid_116_x 653.204
input_centroid_116_y 950.524
input_centroid_116_id 1899
input_centroid_117_x 650.901
input_centroid_117_y 413.177
input_centroid_117_id 1879
input_centroid_118_x 653.492
input_centroid_118_y 933.178
input_centroid_118_id 1897
input_centroid_119_x 653.271
input_centroid_119_y 912.965
input_centroid_119_id 1892
input_centroid_120_x 654.395
input_centroid_120_y 932.259
input_centroid_120_id 1895
input_centroid_121_x 659.707
input_centroid_121_y 52.0378
input_centroid_121_id 1860
input_centroid_122_x 656.555
input_centroid_122_y 953.788
input_centroid_122_id 1887
input_centroid_123_x 653.669
input_centroid_123_y 428.048
input_centroid_123_id 1876
input_centroid_124_x 656.814
input_centroid_124_y 954.044
input_centroid_124_id 1886
input_centroid_125_x 661.345
input_centroid_125_y 119.888
input_centroid_125_id 1858
input_centroid_126_x 659.678
input_centroid_126_y 265.578
input_centroid_126_id 1864
input_centroid_127_x 659.961
input_centroid_127_y 619.56
input_centroid_127_id 1872
input_centroid_128_x 663.429
input_centroid_128_y 796.722
input_centroid_128_id 1874
input_centroid_129_x 663.393
input_centroid_129_y 698.948
input_centroid_129_id 1871
input_centroid_130_x 671.99
input_centroid_130_y 117.711
input_centroid_130_id 1845
input_centroid_131_x 667.931
input_centroid_131_y 785.986
input_centroid_131_id 1868
input_centroid_132_x 672.362
input_centroid_132_y 171.015
input_centroid_132_id 1847
input_centroid_133_x 675.164
input_centroid_133_y 800.901
input_centroid_133_id 1861
input_centroid_134_x 683.734
input_centroid_134_y 1000.1
input_centroid_134_id 1855
input_centroid_135_x 680.482
input_centroid_135_y 756.791
input_centroid_135_id 1852
input_centroid_136_x 688.507
input_centroid_136_y 979.057
input_centroid_136_id 1848
input_centroid_137_x 685.619
input_centroid_137_y 635.374
input_centroid_137_id 1842
input_centroid_138_x 688.452
input_centroid_138_y 546.239
input_centroid_138_id 1839
input_centroid_139_x 697.432
input_centroid_139_y 1005.02
input_centroid_139_id 1840
input_centroid_140_x 697.392
input_centroid_140_y 685.981
input_centroid_140_id 1833
input_centroid_141_x 700.075
input_centroid_141_y 783.86
input_centroid_141_id 1834
input_centroid_142_x 706.659
input_centroid_142_y 163.783
input_centroid_142_id 1816
input_centroid_143_x 703.943
input_centroid_143_y 864.878
input_centroid_143_id 1830
input_centroid_144_x 709.448
input_centroid_144_y 210.764
input_centroid_144_id 1814
input_centroid_145_x 713.346
input_centroid_145_y 138.454
input_centroid_145_id 1808
input_centroid_146_x 722.819
input_centroid_146_y 641.788
input_centroid_146_id 1811
input_centroid_147_x 736.094
input_centroid_147_y 157.775
input_centroid_147_id 1780
input_centroid_148_x 735.659
input_centroid_148_y 532.236
input_centroid_148_id 1790
input_centroid_149_x 741.103
input_centroid_149_y 683.896
input_centroid_149_id 1789
input_centroid_150_x 745.525
input_centroid_150_y 828.823
input_centroid_150_id 1788
input_centroid_151_x 744.722
input_centroid_151_y 777.074
input_centroid_151_id 1787
input_centroid_152_x 752.922
input_centroid_152_y 1019.22
input_centroid_152_id 1784
input_centroid_153_x 750.978
input_centroid_153_y 752.068
input_centroid_153_id 1781
input_centroid_154_x 756.46
input_centroid_154_y 626.418
input_centroid_154_id 1770
input_centroid_155_x 763.178
input_centroid_155_y 461.91
input_centroid_155_id 1763
input_centroid_156_x 767.701
input_centroid_156_y 759.691
input_centroid_156_id 1765
input_centroid_157_x 769.702
input_centroid_157_y 760.852
input_centroid_157_id 1764
input_centroid_158_x 787.982
input_centroid_158_y 658.27
input_centroid_158_id 1746
input_centroid_159_x 807.5
input_centroid_159_y 985.638
input_centroid_159_id 1735
input_centroid_160_x 808.924
input_centroid_160_y 362.337
input_centroid_160_id 1718
input_centroid_161_x 824.311
input_centroid_161_y 571.227
input_centroid_161_id 1709
input_centroid_162_x 842.269
input_centroid_162_y 199.65
input_centroid_162_id 1684
input_centroid_163_x 838.25
input_centroid_163_y 648.89
input_centroid_163_id 1698
input_centroid_164_x 848.959
input_centroid_164_y 958.285
input_centroid_164_id 1697
input_centroid_165_x 859.305
input_centroid_165_y 214.372
input_centroid_165_id 1676
input_centroid_166_x 871.172
input_centroid_166_y 43.6757
input_centroid_166_id 1658
input_centroid_167_x 875.655
input_centroid_167_y 106.629
input_centroid_167_id 1656
input_centroid_168_x 866.976
input_centroid_168_y 411.896
input_centroid_168_id 1672
input_centroid_169_x 868.783
input_centroid_169_y 766.104
input_centroid_169_id 1681
input_centroid_170_x 883.501
input_centroid_170_y 902.023
input_centroid_170_id 1673
input_centroid_171_x 880.359
input_centroid_171_y 456.762
input_centroid_171_id 1664
input_centroid_172_x 891.749
input_centroid_172_y 924.494
input_centroid_172_id 1666
input_centroid_173_x 900.986
input_centroid_173_y 909.336
input_centroid_173_id 1657
input_centroid_174_x 902.712
input_centroid_174_y 218.799
input_centroid_174_id 1638
input_centroid_175_x 915.928
input_centroid_175_y 852.536
input_centroid_175_id 1646
input_centroid_176_x 936.042
input_centroid_176_y 894.11
input_centroid_176_id 1625
input_centroid_177_x 950.699
input_centroid_177_y 1000.84
input_centroid_177_id 1617
input_centroid_178_x 939.545
input_centroid_178_y 721.61
input_centroid_178_id 1618
input_centroid_179_x 951.037
input_centroid_179_y 246.067
input_centroid_179_id 1600
input_centroid_180_x 962.217
input_centroid_180_y 153.634
input_centroid_180_id 1585
input_centroid_181_x 967.601
input_centroid_181_y 687.181
input_centroid_181_id 1601
input_centroid_182_x 974.617
input_centroid_182_y 280.532
input_centroid_182_id 1580
input_centroid_183_x 977.605
input_centroid_183_y 227.067
input_centroid_183_id 1576
input_centroid_184_x 993.916
input_centroid_184_y 929.55
input_centroid_184_id 1582
input_centroid_185_x 990.624
input_centroid_185_y 352.162
input_centroid_185_id 1569
input_centroid_186_x 990.987
input_centroid_186_y 396.226
input_centroid_186_id 1570
input_centroid_187_x 994.396
input_centroid_187_y 477.821
input_centroid_187_id 1571
input_centroid_188_x 1011.78
input_centroid_188_y 89.4901
input_centroid_188_id 1547
input_centroid_189_x 1001.81
input_centroid_189_y 730.303
input_centroid_189_id 1574
input_centroid_190_x 1007.07
input_centroid_190_y 252.867
input_centroid_190_id 1556
input_centroid_191_x 1004.96
input_centroid_191_y 661.712
input_centroid_191_id 1567
input_centroid_192_x 1012.66
input_centroid_192_y 659.288
input_centroid_192_id 1562
